Name,Code,Type,Indicator Name,2016,2017,2018
Myanmar,MMR,Country,Military expenditure (current USD),2455784120,2221961060,2030465547
Middle East & North Africa (excluding high income),MNA,Regions Clubbed Economically,Military expenditure (current USD),41653978701,42887738360,41480239074
Montenegro,MNE,Country,Military expenditure (current USD),61714552,65734886,83806050
Mongolia,MNG,Country,Military expenditure (current USD),96365298,82755202,96067490
Northern Mariana Islands,MNP,Semi Autonomous Region,Military expenditure (current USD),,,
Mozambique,MOZ,Country,Military expenditure (current USD),112203469,128320232,145206802
Mauritania,MRT,Country,Military expenditure (current USD),136064876,143769319,159013353
Mauritius,MUS,Country,Military expenditure (current USD),22958749,23823068,23202896
Malawi,MWI,Country,Military expenditure (current USD),35748122,47416537,58369173
Malaysia,MYS,Country,Military expenditure (current USD),4169374001,3494832257,3469828207
North America,NAC,Regions Clubbed Geographically,Military expenditure (current USD),618000000000,627000000000,670000000000
Namibia,NAM,Country,Military expenditure (current USD),425388450,457882191,451546509
New Caledonia,NCL,Semi Autonomous Region,Military expenditure (current USD),,,
Niger,NER,Country,Military expenditure (current USD),166192292,200183930,229639906
Nigeria,NGA,Country,Military expenditure (current USD),1723204266,1621218176,2043051719
Nicaragua,NIC,Country,Military expenditure (current USD),85073598,86725445,81593933
Netherlands,NLD,Country,Military expenditure (current USD),9115240932,9580685498,11242755804
Norway,NOR,Country,Military expenditure (current USD),5997385048,6465750412,7067073381
Nepal,NPL,Country,Military expenditure (current USD),356495279,404705220,398521545
Nauru,NRU,Country,Military expenditure (current USD),,,
New Zealand,NZL,Country,Military expenditure (current USD),2093352062,2328156653,2262928312
OECD members,OED,Regions Clubbed Economically,Military expenditure (current USD),1020000000000,1050000000000,1120000000000
Oman,OMN,Country,Military expenditure (current USD),7935955787,6802665800,6710013004
Other small states,OSS,Regions Clubbed Geographically,Military expenditure (current USD),4184199984,,4366787606
Pakistan,PAK,Country,Military expenditure (current USD),9973768059,11461253917,11375525626
Panama,PAN,Country,Military expenditure (current USD),0,0,0
Peru,PER,Country,Military expenditure (current USD),2536072335,2665785313,2708912280
Philippines,PHL,Country,Military expenditure (current USD),4357991313,3755351173,3769741011
Palau,PLW,Country,Military expenditure (current USD),,,
Papua New Guinea,PNG,Country,Military expenditure (current USD),79051319,71907642,60592819
Poland,POL,Country,Military expenditure (current USD),9164190587,9870680628,11596155291
Pre-demographic dividend,PRE,Regions Clubbed Economically,Military expenditure (current USD),19707109971,23034160650,18526652903
Puerto Rico,PRI,Country,Military expenditure (current USD),,,
North Korea,PRK,Country,Military expenditure (current USD),,,
Portugal,PRT,Country,Military expenditure (current USD),3569059626,3646515110,4247842971
